token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
26000,NIFTY,NIFTY,,-1.000000,-1,,NSE,-1.000000
53810,NIFTY17JUN2116400PE,NIFTY,17JUN2021,1640000.000000,75,OPTIDX,NFO,5.000000
49545,NIFTY29DEC2210900PE,NIFTY,29DEC2022,1090000.000000,75,OPTIDX,NFO,5.000000
49157,NIFTY24DEC2511500CE,NIFTY,24DEC2025,1150000.000000,75,OPTIDX,NFO,5.000000
52730,NIFTY26AUG2115900CE,NIFTY,26AUG2021,1590000.000000,50,OPTIDX,NFO,5.000000
43405,NIFTY29DEC2214500CE,NIFTY,29DEC2022,1450000.000000,75,OPTIDX,NFO,5.000000
35140,NIFTY10JUN2116900CE,NIFTY,10JUN2021,1690000.000000,75,OPTIDX,NFO,5.000000
39783,NIFTY26AUG2117200PE,NIFTY,26AUG2021,1720000.000000,50,OPTIDX,NFO,5.000000
47791,NIFTY10JUN2115550CE,NIFTY,10JUN2021,1555000.000000,75,OPTIDX,NFO,5.000000
44968,NIFTY10JUN2116500PE,NIFTY,10JUN2021,1650000.000000,75,OPTIDX,NFO,5.000000
43365,NIFTY30DEC2114000CE,NIFTY,30DEC2021,1400000.000000,75,OPTIDX,NFO,5.000000
52517,NIFTY01JUL2115350PE,NIFTY,01JUL2021,1535000.000000,75,OPTIDX,NFO,5.000000
53959,NIFTY29JUL2116000CE,NIFTY,29JUL2021,1600000.000000,50,OPTIDX,NFO,5.000000
52492,NIFTY01JUL2114750CE,NIFTY,01JUL2021,1475000.000000,75,OPTIDX,NFO,5.000000
39607,NIFTY05AUG2115750PE,NIFTY,05AUG2021,1575000.000000,50,OPTIDX,NFO,5.000000
39350,NIFTY17JUN2117150PE,NIFTY,17JUN2021,1715000.000000,75,OPTIDX,NFO,5.000000
45610,NIFTY29DEC2215500PE,NIFTY,29DEC2022,1550000.000000,75,OPTIDX,NFO,5.000000
47335,NIFTY22JUL2113500CE,NIFTY,22JUL2021,1350000.000000,75,OPTIDX,NFO,5.000000
51384,NIFTY17JUN2114250PE,NIFTY,17JUN2021,1425000.000000,75,OPTIDX,NFO,5.000000
49866,NIFTY29DEC2212000PE,NIFTY,29DEC2022,1200000.000000,75,OPTIDX,NFO,5.000000
53963,NIFTY29JUL2116100CE,NIFTY,29JUL2021,1610000.000000,50,OPTIDX,NFO,5.000000
47567,NIFTY10JUN2113600PE,NIFTY,10JUN2021,1360000.000000,75,OPTIDX,NFO,5.000000
51449,NIFTY17JUN2115700CE,NIFTY,17JUN2021,1570000.000000,75,OPTIDX,NFO,5.000000
51420,NIFTY17JUN2115100CE,NIFTY,17JUN2021,1510000.000000,75,OPTIDX,NFO,5.000000
39277,NIFTY29DEC2213500CE,NIFTY,29DEC2022,1350000.000000,75,OPTIDX,NFO,5.000000
39664,NIFTY05AUG2116050PE,NIFTY,05AUG2021,1605000.000000,50,OPTIDX,NFO,5.000000
51368,NIFTY31MAR2215000PE,NIFTY,31MAR2022,1500000.000000,75,OPTIDX,NFO,5.000000
47553,NIFTY22JUL2116250PE,NIFTY,22JUL2021,1625000.000000,75,OPTIDX,NFO,5.000000
39478,NIFTY05AUG2114500CE,NIFTY,05AUG2021,1450000.000000,50,OPTIDX,NFO,5.000000
49175,NIFTY24DEC2515500CE,NIFTY,24DEC2025,1550000.000000,75,OPTIDX,NFO,5.000000
52433,NIFTY01JUL2113600PE,NIFTY,01JUL2021,1360000.000000,75,OPTIDX,NFO,5.000000
41738,NIFTY30DEC2111600PE,NIFTY,30DEC2021,1160000.000000,75,OPTIDX,NFO,5.000000
52406,NIFTY01JUL2112950CE,NIFTY,01JUL2021,1295000.000000,75,OPTIDX,NFO,5.000000
39254,NIFTY24JUN2111500CE,NIFTY,24JUN2021,1150000.000000,75,OPTIDX,NFO,5.000000
51425,NIFTY17JUN2115200PE,NIFTY,17JUN2021,1520000.000000,75,OPTIDX,NFO,5.000000
43967,NIFTY15JUL2113700CE,NIFTY,15JUL2021,1370000.000000,75,OPTIDX,NFO,5.000000
51867,NIFTY17JUN2116850CE,NIFTY,17JUN2021,1685000.000000,75,OPTIDX,NFO,5.000000
39460,NIFTY08JUL2115200PE,NIFTY,08JUL2021,1520000.000000,75,OPTIDX,NFO,5.000000
47611,NIFTY10JUN2114050CE,NIFTY,10JUN2021,1405000.000000,75,OPTIDX,NFO,5.000000
49865,NIFTY29DEC2212000CE,NIFTY,29DEC2022,1200000.000000,75,OPTIDX,NFO,5.000000
35225,NIFTY29JUL2116900CE,NIFTY,29JUL2021,1690000.000000,50,OPTIDX,NFO,5.000000
49304,NIFTY15JUL2116750PE,NIFTY,15JUL2021,1675000.000000,75,OPTIDX,NFO,5.000000
36413,NIFTY27JUN2416500PE,NIFTY,27JUN2024,1650000.000000,75,OPTIDX,NFO,5.000000
39351,NIFTY17JUN2117200CE,NIFTY,17JUN2021,1720000.000000,75,OPTIDX,NFO,5.000000
51398,NIFTY17JUN2114600CE,NIFTY,17JUN2021,1460000.000000,75,OPTIDX,NFO,5.000000
39308,NIFTY08JUL2113600CE,NIFTY,08JUL2021,1360000.000000,75,OPTIDX,NFO,5.000000
44081,NIFTY15JUL2114700CE,NIFTY,15JUL2021,1470000.000000,75,OPTIDX,NFO,5.000000
53029,NIFTY01JUL2116350PE,NIFTY,01JUL2021,1635000.000000,75,OPTIDX,NFO,5.000000
39365,NIFTY24JUN2117150CE,NIFTY,24JUN2021,1715000.000000,75,OPTIDX,NFO,5.000000
47566,NIFTY10JUN2113600CE,NIFTY,10JUN2021,1360000.000000,75,OPTIDX,NFO,5.000000
43404,NIFTY30JUN2214500PE,NIFTY,30JUN2022,1450000.000000,75,OPTIDX,NFO,5.000000
51258,NIFTY24JUN2113850CE,NIFTY,24JUN2021,1385000.000000,75,OPTIDX,NFO,5.000000
55118,NIFTY26DEC2418000PE,NIFTY,26DEC2024,1800000.000000,75,OPTIDX,NFO,5.000000
45423,NIFTY27JUN2412500PE,NIFTY,27JUN2024,1250000.000000,75,OPTIDX,NFO,5.000000
39730,NIFTY05AUG2116650CE,NIFTY,05AUG2021,1665000.000000,50,OPTIDX,NFO,5.000000
41203,NIFTY10JUN2116450CE,NIFTY,10JUN2021,1645000.000000,75,OPTIDX,NFO,5.000000
39375,NIFTY08JUL2114200PE,NIFTY,08JUL2021,1420000.000000,75,OPTIDX,NFO,5.000000
39725,NIFTY05AUG2116500PE,NIFTY,05AUG2021,1650000.000000,50,OPTIDX,NFO,5.000000
47485,NIFTY22JUL2115400PE,NIFTY,22JUL2021,1540000.000000,75,OPTIDX,NFO,5.000000
52756,NIFTY26AUG2116000CE,NIFTY,26AUG2021,1600000.000000,50,OPTIDX,NFO,5.000000
53840,NIFTY29JUL2113900PE,NIFTY,29JUL2021,1390000.000000,50,OPTIDX,NFO,5.000000
35196,NIFTY08JUL2116950CE,NIFTY,08JUL2021,1695000.000000,75,OPTIDX,NFO,5.000000
47441,NIFTY22JUL2115050CE,NIFTY,22JUL2021,1505000.000000,75,OPTIDX,NFO,5.000000
43914,NIFTY15JUL2113300CE,NIFTY,15JUL2021,1330000.000000,75,OPTIDX,NFO,5.000000
45883,NIFTY22JUL2116600CE,NIFTY,22JUL2021,1660000.000000,75,OPTIDX,NFO,5.000000
52720,NIFTY01JUL2116050CE,NIFTY,01JUL2021,1605000.000000,75,OPTIDX,NFO,5.000000
39534,NIFTY05AUG2114900PE,NIFTY,05AUG2021,1490000.000000,50,OPTIDX,NFO,5.000000
44130,NIFTY15JUL2115300CE,NIFTY,15JUL2021,1530000.000000,75,OPTIDX,NFO,5.000000
42072,NIFTY27JUN2417500CE,NIFTY,27JUN2024,1750000.000000,75,OPTIDX,NFO,5.000000
39535,NIFTY08JUL2116150PE,NIFTY,08JUL2021,1615000.000000,75,OPTIDX,NFO,5.000000
37201,NIFTY29JUL2113050CE,NIFTY,29JUL2021,1305000.000000,50,OPTIDX,NFO,5.000000
47564,NIFTY10JUN2113550CE,NIFTY,10JUN2021,1355000.000000,75,OPTIDX,NFO,5.000000
46879,NIFTY28DEC2313000PE,NIFTY,28DEC2023,1300000.000000,75,OPTIDX,NFO,5.000000
52441,NIFTY01JUL2113800PE,NIFTY,01JUL2021,1380000.000000,75,OPTIDX,NFO,5.000000
47736,NIFTY10JUN2115150PE,NIFTY,10JUN2021,1515000.000000,75,OPTIDX,NFO,5.000000
45935,NIFTY24JUN218300PE,NIFTY,24JUN2021,830000.000000,75,OPTIDX,NFO,5.000000
51931,NIFTY26AUG2114050CE,NIFTY,26AUG2021,1405000.000000,50,OPTIDX,NFO,5.000000
53016,NIFTY17JUN2116300CE,NIFTY,17JUN2021,1630000.000000,75,OPTIDX,NFO,5.000000
51305,NIFTY24JUN2114600CE,NIFTY,24JUN2021,1460000.000000,75,OPTIDX,NFO,5.000000
